work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,Mid Level,Full time,Data Scientist,160000,US,Remote,US,Large
2021,Mid Level,Full time,Data Scientist,12901,BR,On-site,other,Small
2021,Senior Level,Full time,Machine Learning Engineer,200000,US,Remote,US,Large
2021,Senior Level,Full time,Data Engineer,165000,US,On-site,US,Medium
2021,Mid Level,Freelance,Data Engineer,20000,other,On-site,US,Large
2021,Senior Level,Full time,other,120000,US,On-site,US,Large
2021,Mid Level,Full time,Machine Learning Engineer,24823,other,Hybrid,other,Large
2021,Mid Level,Full time,Research Scientist,56738,FR,Hybrid,FR,Small
2021,Mid Level,Full time,Data Engineer,66022,other,Hybrid,GB,Small
2021,Entry Level,Full time,Big Data Engineer,5882,IN,On-site,other,Large
2021,Entry Level,Full time,Machine Learning Engineer,24823,DE,Hybrid,DE,Medium
2021,Senior Level,Full time,other,185000,US,Remote,US,Large
2021,Entry Level,Part time,other,28609,other,Hybrid,other,Small
2021,Mid Level,Full time,Data Scientist,90734,DE,Hybrid,DE,Large
2021,Mid Level,Full time,Machine Learning Engineer,88654,other,Remote,other,Medium
2021,Senior Level,Full time,other,140000,US,Remote,US,Large
2021,Mid Level,Full time,Machine Learning Engineer,46597,other,Remote,other,Large
2021,Mid Level,Full time,Data Scientist,116914,GB,Hybrid,GB,Large
2021,Mid Level,Full time,Data Scientist,33808,IN,On-site,IN,Medium
2021,Mid Level,Full time,Data Scientist,56256,GB,Hybrid,GB,Large
2021,Senior Level,Full time,Machine Learning Scientist,225000,US,Remote,CA,Large
2021,Executive Level,Contract,other,416000,US,Remote,US,Small
2021,Senior Level,Full time,Data Scientist,87738,CA,Remote,CA,Small
2021,Mid Level,Full time,Data Scientist,88654,DE,Hybrid,DE,Large
2021,Senior Level,Full time,Data Scientist,135000,US,On-site,US,Large
2021,Senior Level,Full time,Data Analyst,71786,CA,Remote,CA,Medium
2021,Entry Level,Full time,Big Data Engineer,16228,IN,Remote,IN,Large
2021,Senior Level,Full time,other,256000,US,Remote,US,Small
2021,Senior Level,Full time,other,200000,US,Remote,US,Large
2021,Senior Level,Full time,Data Analyst,200000,US,Remote,US,Large
2021,Mid Level,Full time,Data Architect,180000,US,Remote,US,Large
2021,Mid Level,Full time,other,110000,US,On-site,US,Small
2021,Mid Level,Full time,Research Scientist,63810,CA,Remote,CA,Medium
2021,Mid Level,Full time,Data Scientist,46809,ES,Remote,ES,Medium
2021,Entry Level,Full time,Data Scientist,4000,other,On-site,other,Medium
2021,Entry Level,Full time,Data Engineer,21637,IN,Hybrid,IN,Medium
2021,Senior Level,Full time,Data Scientist,103691,CA,Remote,CA,Large
2021,Mid Level,Full time,Data Analyst,80000,US,Remote,US,Large
2021,Mid Level,Full time,Data Engineer,110000,US,Remote,US,Large
2021,Senior Level,Full time,Data Scientist,165000,US,Remote,US,Large
2021,Entry Level,Full time,other,18053,IN,Remote,other,Small
2021,Mid Level,Full time,Data Engineer,72212,GB,Hybrid,GB,Large
2021,Entry Level,Full time,Data Scientist,36643,FR,Hybrid,FR,Large
2021,Mid Level,Full time,Data Engineer,12103,other,On-site,other,Medium
2021,Senior Level,Full time,Data Engineer,96282,GB,Hybrid,GB,Large
2021,Senior Level,Full time,other,170000,US,Remote,US,Medium
2021,Mid Level,Full time,Data Scientist,115000,US,Hybrid,US,Large
2021,Entry Level,Full time,Data Scientist,90000,US,Remote,US,Small
2021,Executive Level,Full time,other,600000,US,Remote,US,Large
2021,Entry Level,Full time,Data Scientist,28399,IN,Remote,IN,Medium
2021,Mid Level,Full time,Data Analyst,93000,US,Remote,US,Large
2021,Senior Level,Full time,other,99703,CA,Hybrid,CA,Medium
2021,Mid Level,Full time,Data Engineer,200000,US,Remote,US,Large
2021,Senior Level,Full time,other,173762,DE,Remote,DE,Medium
2021,Senior Level,Full time,Machine Learning Engineer,185000,US,Hybrid,US,Large
2021,Executive Level,Full time,other,141846,DE,On-site,DE,Large
2021,Mid Level,Full time,Data Scientist,130000,US,Hybrid,US,Large
2021,Senior Level,Full time,Data Analyst,63831,DE,Hybrid,DE,Large
2021,Mid Level,Full time,Data Scientist,16904,IN,Remote,IN,Small
2021,Senior Level,Full time,Machine Learning Engineer,66265,IN,On-site,IN,Large
2021,Mid Level,Full time,Data Scientist,25532,other,Remote,DE,Small
2021,Senior Level,Full time,other,160000,other,Hybrid,US,Small
2021,Mid Level,Full time,Data Engineer,93150,US,On-site,US,Medium
2021,Mid Level,Full time,Data Engineer,111775,US,On-site,US,Medium
2021,Mid Level,Full time,Data Engineer,28016,other,Remote,other,Medium
2021,Entry Level,Full time,Data Engineer,65013,DE,Hybrid,DE,Medium
2021,Entry Level,Full time,Data Engineer,72500,US,Remote,US,Large
2021,Senior Level,Full time,other,18907,BR,On-site,other,Medium
2021,Entry Level,Full time,other,76833,DE,On-site,DE,Large
2021,Entry Level,Full time,Machine Learning Engineer,85000,other,Remote,DE,Small
2021,Senior Level,Full time,Data Scientist,77684,FR,Hybrid,FR,Medium
2021,Entry Level,Full time,Data Scientist,100000,US,Remote,US,Medium
2021,Entry Level,Full time,Data Scientist,58000,US,Hybrid,US,Large
2021,Senior Level,Full time,other,55000,ES,Remote,ES,Large
2021,Senior Level,Full time,Data Scientist,20171,other,Hybrid,other,Large
2021,Entry Level,Full time,other,59102,other,Remote,other,Large
2021,Mid Level,Full time,Data Engineer,112000,US,Remote,US,Large
2021,Entry Level,Full time,Research Scientist,100000,other,On-site,other,Large
2021,Mid Level,Part time,Data Engineer,69741,other,Remote,other,Large
2021,Senior Level,Contract,other,105000,US,Remote,US,Medium
2021,Mid Level,Full time,Research Scientist,69999,other,Hybrid,other,Large
2021,Senior Level,Full time,Data Science Manager,94665,IN,Hybrid,IN,Large
2021,Senior Level,Full time,other,102839,other,Remote,other,Large
2021,Mid Level,Full time,Data Scientist,109000,US,Hybrid,US,Large
2021,Mid Level,Full time,Machine Learning Engineer,51064,other,Hybrid,other,Large
2022,Senior Level,Full time,Data Engineer,135000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,155000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,120600,US,Remote,US,Medium
2022,Mid Level,Full time,Data Scientist,130000,US,On-site,US,Medium
2022,Mid Level,Full time,Data Scientist,90000,US,On-site,US,Medium
2022,Mid Level,Full time,Data Engineer,170000,US,Remote,US,Medium
2022,Mid Level,Full time,Data Engineer,150000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,102100,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,84900,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,136620,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,99360,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,117789,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,104702,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,146000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,123000,US,Remote,US,Medium
2022,Entry Level,Full time,Data Engineer,52351,GB,Remote,GB,Medium
2022,Senior Level,Full time,Data Analyst,99000,US,On-site,US,Medium
2022,Senior Level,Full time,Data Analyst,116000,US,On-site,US,Medium
2022,Mid Level,Full time,Data Analyst,106260,US,On-site,US,Medium
2022,Mid Level,Full time,Data Analyst,126500,US,On-site,US,Medium
2022,Executive Level,Full time,Data Engineer,242000,US,Remote,US,Medium
2022,Executive Level,Full time,Data Engineer,200000,US,Remote,US,Medium
2022,Mid Level,Full time,Data Scientist,65438,GB,On-site,GB,Medium
2022,Mid Level,Full time,Data Scientist,39263,GB,On-site,GB,Medium
2022,Mid Level,Full time,Data Engineer,78526,GB,On-site,GB,Medium
2022,Mid Level,Full time,Data Engineer,52351,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,165220,US,Remote,US,Medium
2022,Entry Level,Full time,Data Engineer,45807,GB,Remote,GB,Medium
2022,Senior Level,Full time,Data Scientist,120160,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,90320,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,181940,US,On-site,US,Medium
2022,Senior Level,Full time,Data Engineer,132320,US,On-site,US,Medium
2022,Senior Level,Full time,Data Engineer,220110,US,On-site,US,Medium
2022,Senior Level,Full time,Data Engineer,160080,US,On-site,US,Medium
2022,Senior Level,Full time,Data Scientist,180000,US,On-site,US,Large
2022,Senior Level,Full time,Data Scientist,120000,US,On-site,US,Large
2022,Senior Level,Full time,Data Analyst,124190,US,Remote,US,Medium
2022,Executive Level,Full time,Data Analyst,130000,US,Remote,US,Medium
2022,Executive Level,Full time,Data Analyst,110000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,170000,US,Remote,US,Medium
2022,Mid Level,Full time,Data Analyst,115500,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,112900,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,90320,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,112900,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,90320,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,165400,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,132320,US,Remote,US,Medium
2022,Mid Level,Full time,Data Analyst,167000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,243900,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,136600,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,109280,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,128875,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,93700,US,Remote,US,Medium
2022,Executive Level,Full time,other,224000,US,Remote,US,Medium
2022,Executive Level,Full time,other,167875,US,Remote,US,Medium
2022,Executive Level,Full time,other,175000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,156600,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,108800,US,On-site,US,Medium
2022,Senior Level,Full time,Data Scientist,95550,US,On-site,US,Medium
2022,Senior Level,Full time,Data Engineer,113000,US,On-site,US,Large
2022,Senior Level,Full time,Data Analyst,135000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Science Manager,161342,US,Remote,US,Medium
2022,Senior Level,Full time,Data Science Manager,137141,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,167000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,123000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,78526,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Engineer,65438,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,150000,US,On-site,US,Medium
2022,Senior Level,Full time,Data Scientist,211500,US,Remote,US,Medium
2022,Senior Level,Full time,Data Architect,192400,CA,Remote,CA,Medium
2022,Senior Level,Full time,Data Architect,90700,CA,Remote,CA,Medium
2022,Senior Level,Full time,Data Analyst,130000,CA,Remote,CA,Medium
2022,Senior Level,Full time,Data Analyst,61300,CA,Remote,CA,Medium
2022,Senior Level,Full time,Data Analyst,130000,CA,Remote,CA,Medium
2022,Senior Level,Full time,Data Analyst,61300,CA,Remote,CA,Medium
2022,Senior Level,Full time,Data Engineer,160000,US,On-site,US,Large
2022,Senior Level,Full time,Data Scientist,138600,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,136000,US,On-site,US,Medium
2022,Mid Level,Full time,Data Analyst,58000,US,On-site,US,Small
2022,Executive Level,Full time,other,135000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,170000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,123000,US,Remote,US,Medium
2022,Senior Level,Full time,Machine Learning Engineer,189650,US,On-site,US,Medium
2022,Senior Level,Full time,Machine Learning Engineer,164996,US,On-site,US,Medium
2022,Mid Level,Full time,other,54957,GR,On-site,GR,Medium
2022,Mid Level,Full time,other,54957,GR,On-site,GR,Medium
2022,Executive Level,Full time,other,118187,CA,Remote,CA,Small
2022,Senior Level,Full time,Data Analyst,132000,US,On-site,US,Medium
2022,Senior Level,Full time,Data Engineer,165400,US,Remote,US,Medium
2022,Senior Level,Full time,Data Architect,208775,US,Remote,US,Medium
2022,Senior Level,Full time,Data Architect,147800,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,136994,US,Remote,US,Medium
2022,Senior Level,Full time,Data Engineer,101570,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,128875,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,93700,US,Remote,US,Medium
2022,Executive Level,Full time,other,79039,IN,Hybrid,IN,Large
2022,Senior Level,Full time,Data Engineer,132320,US,Remote,US,Medium
2022,Entry Level,Full time,Machine Learning Engineer,37300,GB,Remote,GB,Large
2022,Senior Level,Full time,Data Analyst,164000,US,On-site,US,Medium
2022,Senior Level,Full time,Data Engineer,155000,US,Remote,US,Medium
2022,Mid Level,Full time,Machine Learning Engineer,124333,GB,On-site,GB,Medium
2022,Mid Level,Full time,Machine Learning Engineer,98158,GB,On-site,GB,Medium
2022,Mid Level,Full time,other,120000,US,On-site,US,Medium
2022,Senior Level,Full time,Data Analyst,112900,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,90320,US,Remote,US,Medium
2022,Senior Level,Full time,other,145000,US,Remote,US,Medium
2022,Senior Level,Full time,other,105400,US,Remote,US,Medium
2022,Mid Level,Full time,Machine Learning Engineer,87932,FR,Remote,DE,Medium
2022,Mid Level,Full time,Data Engineer,117789,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,215300,US,Remote,US,Large
2022,Senior Level,Full time,Data Scientist,158200,US,Remote,US,Large
2022,Senior Level,Full time,Data Engineer,209100,US,Remote,US,Large
2022,Senior Level,Full time,Data Engineer,154600,US,Remote,US,Large
